algorithme,taille,serie,exemplaire,temps d'exécution,revenu,rendement,maxQ
local,1000,100,9,0.07645750045776367,5513.0,288.6728419539178,4525
local,1000,100,10,0.10279178619384766,6260.0,290.39365236726275,5121
local,1000,1000,1,0.0157773494720459,5871.0,211.00857903917532,4960
local,1000,1000,2,0.018010616302490234,10849.0,69.55684107168092,9948
local,1000,1000,3,0.03141641616821289,20030.0,203.68292514720687,14447
local,1000,1000,4,0.04735517501831055,28144.0,225.66741080137976,20306
local,1000,1000,5,0.02271890640258789,26785.0,105.9214641515654,24862
local,1000,1000,6,0.05424332618713379,38184.0,244.24733936260782,29882
local,1000,1000,7,0.03117513656616211,36157.0,230.35947763236564,33969
local,1000,1000,8,0.08642268180847168,47983.0,276.6902820158498,38205
local,1000,1000,9,0.03223443031311035,47814.0,192.20174301515453,45353
local,1000,1000,10,0.03696727752685547,51655.0,170.54183115656315,49097
local,10000,10,1,0.4617908000946045,911.0,697.7309523809524,546
local,10000,10,2,0.6477622985839844,1523.0,818.4634920634919,1100
local,10000,10,3,0.9062294960021973,2141.0,1014.4757936507935,1638
local,10000,10,4,1.3232765197753906,2793.0,1166.9234126984124,2195
local,10000,10,5,1.9006023406982422,3461.0,1375.3337301587294,2745
local,10000,10,6,2.561973810195923,4127.0,1569.1095238095234,3324
local,10000,10,7,3.215820789337158,4761.0,1750.1293650793646,3857
local,10000,10,8,4.063055515289307,5398.0,1877.534523809523,4422
local,10000,10,9,5.024197101593018,6029.0,2075.0749999999985,4941
local,10000,10,10,6.066604137420654,6641.0,2279.6456349206305,5449
local,10000,100,1,0.3988025188446045,7835.0,1193.0098092397952,5028
local,10000,100,2,1.1570568084716797,14507.0,1615.5411443986168,9997
local,10000,100,3,1.9686918258666992,20678.0,1890.7220400597246,14998
local,10000,100,4,2.9258501529693604,26489.0,1964.5320444765623,20234
local,10000,100,5,3.729874610900879,32530.0,2319.711598472443,25041
local,10000,100,6,4.359388828277588,38380.0,2211.76063767839,30513
local,10000,100,7,6.2623114585876465,44579.0,2644.4094079403303,35299
local,10000,100,8,7.628363609313965,49948.0,2708.8771594276513,40062
local,10000,100,10,8.239956140518188,60520.0,2785.5114385549196,50892
local,10000,100,9,8.920105457305908,56222.0,2845.827822777541,45744
local,10000,1000,1,0.63739013671875,78245.0,1918.5106710498417,50340
local,10000,1000,2,1.2973361015319824,144919.0,2180.3466745963597,100327
local,10000,1000,3,1.7300777435302734,193421.0,2082.7949149844358,148413
local,10000,1000,4,2.5126118659973145,255540.0,2386.313109147096,199351
local,10000,1000,5,0.5007040500640869,260067.0,1504.62519864359,247973
local,10000,1000,6,0.651054859161377,315369.0,1453.6337241639087,300675
local,10000,1000,8,1.1223053932189941,417146.0,2179.4563243542193,395882
local,10000,1000,7,1.2142140865325928,371622.0,2221.478677686276,347683
local,10000,1000,9,1.3023576736450195,468667.0,2229.545193755047,447507
local,10000,1000,10,1.5784711837768555,520756.0,2009.322482281128,500042
