algorithme,taille,serie,exemplaire,temps d'exécution,revenu
algorithme,taille,serie,exemplaire,temps d'exécution,revenu
algorithme,taille,serie,exemplaire,temps d'exécution,revenu
progdyn,100,1000,01,0.13536572456359863,1552.0
progdyn,100,1000,02,0.15375161170959473,1509.0
progdyn,100,1000,03,0.25159573554992676,2214.0
progdyn,100,1000,04,0.35785770416259766,2944.0
progdyn,100,1000,05,0.38323497772216797,3257.0
progdyn,100,1000,06,0.5375776290893555,4094.0
progdyn,100,1000,07,0.5910091400146484,4178.0
progdyn,100,1000,08,0.6817927360534668,4679.0
progdyn,100,1000,09,0.84529709815979,6036.0
progdyn,100,1000,10,0.9837300777435303,6294.0
progdyn,1000,10,01,0.20502138137817383,93.0
progdyn,1000,10,02,0.38904452323913574,179.0
progdyn,1000,10,03,0.5446517467498779,253.0
progdyn,1000,10,04,0.7300186157226562,334.0
progdyn,1000,10,05,0.8480219841003418,395.0
progdyn,1000,10,06,0.9659214019775391,449.0
progdyn,1000,10,07,1.0788240432739258,511.0
progdyn,1000,10,08,1.2520852088928223,602.0
progdyn,1000,10,09,1.393754005432129,662.0
progdyn,1000,10,10,1.532977819442749,732.0
progdyn,1000,100,01,1.0644164085388184,911.0
progdyn,1000,100,02,2.1366822719573975,1582.0
progdyn,1000,100,03,3.021728754043579,2176.0
progdyn,1000,100,04,4.24222469329834,2875.0
progdyn,1000,100,05,5.347314119338989,3445.0
progdyn,1000,100,06,6.1014909744262695,4069.0
progdyn,1000,100,07,7.037580251693726,4519.0
progdyn,1000,100,08,8.326793193817139,5344.0
progdyn,1000,100,09,10.026259422302246,5844.0
progdyn,1000,100,10,11.89936113357544,6482.0
progdyn,1000,1000,01,9.64124608039856,9122.0
progdyn,1000,1000,02,19.706302642822266,15825.0
progdyn,1000,1000,03,29.413362503051758,22002.0
progdyn,1000,1000,04,41.28125262260437,28887.0
progdyn,1000,1000,05,49.88991951942444,34207.0
progdyn,1000,1000,06,60.286590576171875,40415.0
progdyn,1000,1000,07,68.87884044647217,45548.0
progdyn,1000,1000,08,73.39295792579651,50102.0
progdyn,1000,1000,09,89.54814004898071,57428.0
progdyn,1000,1000,10,98.82399320602417,61155.0
progdyn,10000,10,01,22.083192825317383,978.0
progdyn,10000,10,02,39.285218238830566,1777.0
progdyn,10000,10,03,56.78007793426514,2546.0
progdyn,10000,10,04,71.39045572280884,3245.0
progdyn,10000,10,05,87.25064849853516,3928.0
progdyn,10000,10,06,101.45602488517761,4641.0
progdyn,10000,10,07,114.3443489074707,5274.0
progdyn,10000,10,08,129.192147731781,5940.0
progdyn,10000,10,09,140.0666823387146,6592.0
progdyn,10000,10,10,153.01830172538757,7220.0
progdyn,10000,100,01,114.14021801948547,9207.0
progdyn,10000,100,02,215.98825120925903,16015.0
